,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
0,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,Biryani,5Th Block,59
1,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,Chinese,5Th Block,59
2,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,North Indian,5Th Block,59
3,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,South Indian,5Th Block,59
4,221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,Mughlai,5Th Block,56
6,246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,50
7,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,North Indian,80 Feet Road,57
8,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Punjabi,80 Feet Road,57
9,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Tandoor,80 Feet Road,57
10,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Chinese,80 Feet Road,57
12,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Gujarati,80 Feet Road,63
13,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,North Indian,80 Feet Road,63
14,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Snacks,80 Feet Road,63
15,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Desserts,80 Feet Road,63
16,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Beverages,80 Feet Road,63
17,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Thalis,80 Feet Road,63
18,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Chaat,80 Feet Road,63
19,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,Mughlai,100 Feet Road,56
20,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,North Indian,100 Feet Road,56
21,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Mexican,Double Road,53
22,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Beverages,Double Road,53
23,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Salads,Double Road,53
24,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Desserts,4Th Block,57
26,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Bakery,4Th Block,57
27,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Pizzas,4Th Block,57
28,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Snacks,4Th Block,57
29,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,American,Double Road,57
30,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Italian,Double Road,57
31,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Beverages,Double Road,57
32,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Continental,Double Road,57
33,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Chinese,Double Road,57
34,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Pastas,Double Road,57
35,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Pizzas,Double Road,57
36,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Fast Food,Double Road,57
37,308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,57
38,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,Chinese,5Th Block,56
39,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,Thai,5Th Block,56
41,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,North Indian,Cooke Town,55
42,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,Chinese,Cooke Town,55
43,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,Mughlai,Mm Road,54
44,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,North Indian,Mm Road,54
45,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,Biryani,Mm Road,54
46,464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,American,Ulsoor Lake,48
47,464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,Continental,Ulsoor Lake,48
48,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Fast Food,Domlur Layout,59
49,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Beverages,Domlur Layout,59
50,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Bengali,Domlur Layout,59
51,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Biryani,Domlur Layout,59
52,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Indian,Domlur Layout,59
53,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,North Indian,Domlur Layout,59
54,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Snacks,Domlur Layout,59
55,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,Street Food,Domlur Layout,59
56,604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,Mughlai,7Th Block,52
57,604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,North Indian,7Th Block,52
59,608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,Seafood,Domlur Layout,55
60,621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,Bengali,Domlur,55
61,621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,Fast Food,Domlur,55
62,621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,Chinese,Domlur,55
63,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Seafood,3Rd Block,48
64,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Andhra,3Rd Block,48
65,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Biryani,3Rd Block,48
66,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,South Indian,3Rd Block,48
67,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Combo,3Rd Block,48
68,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Desserts,3Rd Block,48
69,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,Beverages,3Rd Block,48
70,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,Mughlai,Near Apollo Health City Gate,90
71,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,North Indian,Near Apollo Health City Gate,90
72,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,Chinese,Near Apollo Health City Gate,90
73,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,Thai,Near Apollo Health City Gate,90
74,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,Asian,Near Apollo Health City Gate,90
75,1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,Mughlai,I Indirangar,54
76,1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,Bengali,I Indirangar,54
77,1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,North Indian,Bsk 1St Stage,53
78,1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,Chinese,Bsk 1St Stage,53
79,1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,South Indian,Bsk 1St Stage,53
80,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,Arabian,Ahmed Nagar,49
81,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,Biryani,Ahmed Nagar,49
82,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,North Indian,Ahmed Nagar,49
83,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,Chinese,Ahmed Nagar,49
84,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Biryani,Road 11,56
85,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Tandoor,Road 11,56
86,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Chinese,Road 11,56
87,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Indian,Road 11,56
88,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Desserts,Road 11,56
89,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Kebabs,Road 11,56
90,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,Mughlai,Road 11,56
91,1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,Desserts,Opposite Care Hospital Road 11 Banjara Hills,58
92,1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,Fast Food,Opposite Care Hospital Road 11 Banjara Hills,58
93,1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,Bakery,Opposite Care Hospital Road 11 Banjara Hills,58
94,1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Chinese,Marol,58
95,1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Thai,Marol,58
96,1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Asian,Marol,58
97,1617,Powai,Mumbai,Kosho,300.0,4.2,100,Mughlai,Chandivali,56
98,1617,Powai,Mumbai,Kosho,300.0,4.2,100,North Indian,Chandivali,56
99,1617,Powai,Mumbai,Kosho,300.0,4.2,100,Chinese,Chandivali,56
100,1617,Powai,Mumbai,Kosho,300.0,4.2,100,Seafood,Chandivali,56
101,1617,Powai,Mumbai,Kosho,300.0,4.2,100,Italian,Chandivali,56
102,1844,Punjagutta,Hyderabad,Chinese Pavilion,850.0,4.3,500,Chinese,Nagarjuna Circle,64
103,1844,Punjagutta,Hyderabad,Chinese Pavilion,850.0,4.3,500,Seafood,Nagarjuna Circle,64
105,1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200.0,4.2,100,American,Sri Ram Nagar Colony Banjara Hills,69
106,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,Chinese,Mamagoto,59
107,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,Asian,Mamagoto,59
108,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,Pan-Asian,Mamagoto,59
109,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,Thai,Mamagoto,59
110,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,Oriental,Mamagoto,59
111,1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,Chinese,Narayan Plaza,48
112,1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,Asian,Narayan Plaza,48
113,1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,Thai,Narayan Plaza,48
115,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,Italian,1St Stage,57
116,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,Indian,1St Stage,57
117,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,Chinese,1St Stage,57
118,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,South Indian,1St Stage,57
119,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,North Indian,1St Stage,57
120,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,Desserts,1St Stage,57
121,2042,Aundh,Pune,Juice Destination,200.0,4.2,500,Thalis,Iti Road Aundh,60
122,2042,Aundh,Pune,Juice Destination,200.0,4.2,500,North Indian,Iti Road Aundh,60
123,2042,Aundh,Pune,Juice Destination,200.0,4.2,500,Punjabi,Iti Road Aundh,60
124,2042,Aundh,Pune,Juice Destination,200.0,4.2,500,Beverages,Iti Road Aundh,60
125,2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,Biryani,Parihar Chowk,58
126,2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,Mughlai,Parihar Chowk,58
127,2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,North Indian,Parihar Chowk,58
128,2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,Chinese,Parihar Chowk,58
129,2102,Aundh,Pune,Cafe Peterdonuts,400.0,4.1,50,Continental,Gaikwad Nagar,71
130,2102,Aundh,Pune,Cafe Peterdonuts,400.0,4.1,50,Desserts,Gaikwad Nagar,71
131,2250,Baner,Pune,Karolbaug,750.0,4.1,50,Mughlai,Sakal Nagar,72
132,2250,Baner,Pune,Karolbaug,750.0,4.1,50,North Indian,Sakal Nagar,72
133,2250,Baner,Pune,Karolbaug,750.0,4.1,50,Chinese,Sakal Nagar,72
134,2250,Baner,Pune,Karolbaug,750.0,4.1,50,Biryani,Sakal Nagar,72
135,2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500.0,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65
136,2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100,North Indian,S P Road,66
137,2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100,South Indian,S P Road,66
138,2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Biryani,Sd Road,68
139,2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,North Indian,Sd Road,68
140,2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Chinese,Sd Road,68
141,2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Tandoor,Sd Road,68
142,2516,Aundh,Pune,Taaareef,1100.0,4.4,100,Mughlai,Iti Road,67
143,2516,Aundh,Pune,Taaareef,1100.0,4.4,100,North Indian,Iti Road,67
144,2516,Aundh,Pune,Taaareef,1100.0,4.4,100,Seafood,Iti Road,67
145,2516,Aundh,Pune,Taaareef,1100.0,4.4,100,Biryani,Iti Road,67
146,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,North Indian,Sd Road,57
147,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,Chinese,Sd Road,57
148,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,Desserts,Sd Road,57
149,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,Continental,Sd Road,57
150,2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,South Indian,Sd Road,57
151,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,Ice Cream,New Mla Quarters,37
152,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,Beverages,New Mla Quarters,37
153,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,Desserts,New Mla Quarters,37
154,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,Chaat,New Mla Quarters,37
155,2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,Italian,New Mla Quarters,37
156,2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500.0,4.0,1000,Chinese,New Mla Quarters,39
157,2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000,South Indian,Himayath Nagar Road,30
158,2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000,North Indian,Himayath Nagar Road,30
159,2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000,Chinese,Himayath Nagar Road,30
160,2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,Biryani,Himayath Nagar Road,36
161,2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,North Indian,Himayath Nagar Road,36
162,2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,Chinese,Himayath Nagar Road,36
163,2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,Tandoor,Himayath Nagar Road,36
164,2811,Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100,Ice Cream,Residency Road,34
165,2811,Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100,Desserts,Residency Road,34
166,2811,Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100,Beverages,Residency Road,34
167,2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,Tandoor,Kamaraj Road,39
168,2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,Mughlai,Kamaraj Road,39
169,2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,North Indian,Kamaraj Road,39
170,2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,Kebabs,Kamaraj Road,39
171,2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,Biryani,Hosur Road,33
172,2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,Tandoor,Hosur Road,33
173,2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,Kebabs,Hosur Road,33
175,2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,Fast Food,Hosur Road,33
176,2827,Richmond Town,Bangalore,In Wok,500.0,4.3,100,Chinese,Richmond,44
177,2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,Desserts,Mg Road,31
178,2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,Ice Cream,Mg Road,31
179,2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,Bakery,Mg Road,31
180,2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,Fast Food,Mg Road,31
181,2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,Chinese,Church Street,33
182,2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,Continental,Church Street,33
183,2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,Fast Food,Church Street,33
184,2840,Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100,North Indian,Church Street,35
185,2840,Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100,Indian,Church Street,35
186,2843,Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100,Punjabi,Church Street,38
187,2843,Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100,North Indian,Church Street,38
188,2914,Ashok Nagar,Bangalore,Bheemas,550.0,4.3,100,Andhra,Church Street,31
189,2915,Vasanth Nagar,Bangalore,Watson'S,450.0,2.9,80,Fast Food,1St Main Road,53
190,2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,Mughlai,Andheri East,63
191,2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,North Indian,Andheri East,63
192,2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,Chinese,Andheri East,63
193,2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,Seafood,Andheri East,63
194,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,North Indian,Hazra Road,71
195,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,Chinese,Hazra Road,71
196,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,Tandoor,Hazra Road,71
197,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,Biryani,Hazra Road,71
198,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,Beverages,Hazra Road,71
199,3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,Desserts,Hazra Road,71
200,3010,Ballygunge,Kolkata,Ballygunge Dhaba,500.0,4.3,500,North Indian,Ballygunge,59
201,3010,Ballygunge,Kolkata,Ballygunge Dhaba,500.0,4.3,500,Biryani,Ballygunge,59
202,3010,Ballygunge,Kolkata,Ballygunge Dhaba,500.0,4.3,500,Chinese,Ballygunge,59
203,3018,Gariahat,Kolkata,Tero Parbon,500.0,4.3,100,Bengali,Purna Das Road Hindustan Park,72
204,3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700.0,4.3,100,Continental,Purnadas Road,76
205,3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700.0,4.3,100,American,Purnadas Road,76
206,3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700.0,4.3,100,Cafe,Purnadas Road,76
207,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,Biryani,Ballygunge Gardens,67
208,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,Mughlai,Ballygunge Gardens,67
209,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,North Indian,Ballygunge Gardens,67
210,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,Indian,Ballygunge Gardens,67
211,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,Kebabs,Ballygunge Gardens,67
212,3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,Tandoor,Ballygunge Gardens,67
213,3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80,North Indian,Gariahat Road Gariahat,70
214,3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80,Chinese,Gariahat Road Gariahat,70
215,3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80,Bengali,Gariahat Road Gariahat,70
216,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,North Indian,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
217,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Fast Food,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
218,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Tandoor,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
219,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Biryani,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
220,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Kebabs,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
221,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Snacks,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
222,3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54
223,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,Mughlai,1St Stage,58
224,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,North Indian,1St Stage,58
225,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,Biryani,1St Stage,58
226,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,Kebabs,1St Stage,58
227,3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,Desserts,1St Stage,58
228,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,North Indian,Sarat Bose Road Paddapukur,60
229,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Indian,Sarat Bose Road Paddapukur,60
230,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Tandoor,Sarat Bose Road Paddapukur,60
231,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Kebabs,Sarat Bose Road Paddapukur,60
232,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Punjabi,Sarat Bose Road Paddapukur,60
233,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Home Food,Sarat Bose Road Paddapukur,60
234,3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,Chinese,Sarat Bose Road Paddapukur,60
235,3074,Kalighat,Kolkata,Tamarind,1100.0,4.4,100,North Indian,Sarat Bose Road Desapriya Park,73
236,3074,Kalighat,Kolkata,Tamarind,1100.0,4.4,100,South Indian,Sarat Bose Road Desapriya Park,73
237,3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300.0,4.2,100,Fast Food,Coles Road,47
238,3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,Fast Food,Hanumanthanagar,56
239,3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,Beverages,Hanumanthanagar,56
240,3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,Pizzas,Hanumanthanagar,56
241,3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,Street Food,Hanumanthanagar,56
242,3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,Snacks,Hanumanthanagar,56
243,3279,Powai Area,Mumbai,5 Spice,1100.0,4.2,500,Chinese,Powai Area,53
244,3279,Powai Area,Mumbai,5 Spice,1100.0,4.2,500,Desserts,Powai Area,53
245,3324,Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000,Andhra,Punjagutta Road,56
246,3324,Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000,Seafood,Punjagutta Road,56
247,3326,Sion,Mumbai,Cafe Vrindavan,500.0,4.3,100,North Indian,Sion Station,42
248,3326,Sion,Mumbai,Cafe Vrindavan,500.0,4.3,100,Chinese,Sion Station,42
249,3326,Sion,Mumbai,Cafe Vrindavan,500.0,4.3,100,South Indian,Sion Station,42
250,3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,North Indian,Sion Station,44
251,3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,Chinese,Sion Station,44
252,3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,South Indian,Sion Station,44
253,3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,Fast Food,Sion Station,44
254,3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,North Indian,Sion West,48
255,3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,South Indian,Sion West,48
256,3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,Fast Food,Sion West,48
257,3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,Mughlai,Dr. Rajkumar Road,56
258,3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,North Indian,Dr. Rajkumar Road,56
259,3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,Chinese,Dr. Rajkumar Road,56
260,3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,Arabian,Dr. Rajkumar Road,56
261,3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,North Indian,Lakeview,50
262,3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,Chinese,Lakeview,50
263,3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,Biryani,Lakeview,50
264,3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,Seafood,Lakeview,50
