,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
16463,423689,Asif Nagar,Hyderabad,Falak Restaurant And Banquet Hall,250.0,2.9,80,Biryani,Asif Nagar,49
16464,423689,Asif Nagar,Hyderabad,Falak Restaurant And Banquet Hall,250.0,2.9,80,Chinese,Asif Nagar,49
16465,423689,Asif Nagar,Hyderabad,Falak Restaurant And Banquet Hall,250.0,2.9,80,Mughlai,Asif Nagar,49
16466,423727,Jayanagar,Bangalore,Mimi Takeout By Taiki,850.0,4.4,20,Chinese,Jayanagar,63
16467,423727,Jayanagar,Bangalore,Mimi Takeout By Taiki,850.0,4.4,20,Asian,Jayanagar,63
16468,423727,Jayanagar,Bangalore,Mimi Takeout By Taiki,850.0,4.4,20,Thai,Jayanagar,63
16469,423814,Majestic,Bangalore,Hotel Annapoorna,450.0,4.5,100,Biryani,Majestic,38
16470,423814,Majestic,Bangalore,Hotel Annapoorna,450.0,4.5,100,Andhra,Majestic,38
16471,423944,Central Kolkata,Kolkata,Sharma Milk,200.0,2.9,80,Chinese,Central Kolkata,45
16472,424024,Salt Lake,Kolkata,London Dairy,300.0,2.9,80,Ice Cream,Salt Lake,73
16473,424029,Viman Nagar,Pune,The Burger Story,200.0,2.9,80,Snacks,Viman Nagar,77
16474,424029,Viman Nagar,Pune,The Burger Story,200.0,2.9,80,Fast Food,Viman Nagar,77
16475,424029,Viman Nagar,Pune,The Burger Story,200.0,2.9,80,Beverages,Viman Nagar,77
16476,424132,Alipore,Kolkata,Just For Foodies,300.0,4.5,20,South Indian,Alipore,90
16477,424132,Alipore,Kolkata,Just For Foodies,300.0,4.5,20,Fast Food,Alipore,90
16478,424158,Cunningham Road,Bangalore,Trippy Goat Cafe & Wine,1500.0,2.9,80,Beverages,Cunningham Road,51
16479,424158,Cunningham Road,Bangalore,Trippy Goat Cafe & Wine,1500.0,2.9,80,Continental,Cunningham Road,51
16480,424158,Cunningham Road,Bangalore,Trippy Goat Cafe & Wine,1500.0,2.9,80,Italian,Cunningham Road,51
16481,424203,Ruby Area,Kolkata,Aamaze Dhaba,200.0,2.9,80,Indian,Ruby Area,87
16482,424203,Ruby Area,Kolkata,Aamaze Dhaba,200.0,2.9,80,Chinese,Ruby Area,87
16483,424255,Marol Sakinaka,Mumbai,Saki Darbar,300.0,2.9,80,Indian,Marol Sakinaka,55
16484,424255,Marol Sakinaka,Mumbai,Saki Darbar,300.0,2.9,80,Mughlai,Marol Sakinaka,55
16485,424255,Marol Sakinaka,Mumbai,Saki Darbar,300.0,2.9,80,Tandoor,Marol Sakinaka,55
16486,424255,Marol Sakinaka,Mumbai,Saki Darbar,300.0,2.9,80,Chinese,Marol Sakinaka,55
16487,424271,Kurla,Mumbai,Kohlis Kitchen,300.0,2.9,80,Chinese,Kurla,41
16488,424271,Kurla,Mumbai,Kohlis Kitchen,300.0,2.9,80,Indian,Kurla,41
16489,424271,Kurla,Mumbai,Kohlis Kitchen,300.0,2.9,80,Tandoor,Kurla,41
16490,424336,Lake Town,Kolkata,Patta Dona,200.0,2.9,80,Indian,Lake Town,86
16491,424336,Lake Town,Kolkata,Patta Dona,200.0,2.9,80,Continental,Lake Town,86
16492,424336,Lake Town,Kolkata,Patta Dona,200.0,2.9,80,Beverages,Lake Town,86
16493,424336,Lake Town,Kolkata,Patta Dona,200.0,2.9,80,Fast Food,Lake Town,86
16494,424361,Majestic,Bangalore,Udupi Sri Krishna Bhavan,200.0,2.9,80,South Indian,Majestic,39
16495,424420,Annanagar,Chennai,Narsuvai Biryani,275.0,2.9,80,Biryani,Annanagar,76
16496,424423,Nsp,Delhi,Bansal Sweet Shop,300.0,4.4,50,Sweets,Nsp,46
16497,424423,Nsp,Delhi,Bansal Sweet Shop,300.0,4.4,50,Snacks,Nsp,46
16498,424467,Mota Varachha,Surat,Pandeyji Restaurant,200.0,2.9,80,Indian,Mota Varachha,60
16499,424558,Basavanagudi,Bangalore,La Pino'Z Pizza,220.0,3.9,100,Pizzas,Basavanagudi,51
16500,424616,Malleshwaram,Bangalore,Sea Spice Multicuisine Restaurant,400.0,2.9,80,Seafood,Malleshwaram,59
16501,424616,Malleshwaram,Bangalore,Sea Spice Multicuisine Restaurant,400.0,2.9,80,Chinese,Malleshwaram,59
16502,424616,Malleshwaram,Bangalore,Sea Spice Multicuisine Restaurant,400.0,2.9,80,Biryani,Malleshwaram,59
16503,424618,Jadavpur,Kolkata,The Nightingale,250.0,2.9,80,Chinese,Jadavpur,91
16504,424624,Kurla,Mumbai,Shalimar Juicy,200.0,2.9,80,Indian,Kurla,38
16505,424624,Kurla,Mumbai,Shalimar Juicy,200.0,2.9,80,Beverages,Kurla,38
16506,424624,Kurla,Mumbai,Shalimar Juicy,200.0,2.9,80,Snacks,Kurla,38
16507,424624,Kurla,Mumbai,Shalimar Juicy,200.0,2.9,80,Desserts,Kurla,38
16508,424624,Kurla,Mumbai,Shalimar Juicy,200.0,2.9,80,Pizzas,Kurla,38
16509,424634,Navrangpura,Ahmedabad,Parosa,600.0,2.9,80,Continental,Navrangpura,46
16510,424634,Navrangpura,Ahmedabad,Parosa,600.0,2.9,80,Italian,Navrangpura,46
16511,424634,Navrangpura,Ahmedabad,Parosa,600.0,2.9,80,Chinese,Navrangpura,46
16512,424634,Navrangpura,Ahmedabad,Parosa,600.0,2.9,80,North Indian,Navrangpura,46
16513,424634,Navrangpura,Ahmedabad,Parosa,600.0,2.9,80,Beverages,Navrangpura,46
16514,424641,Kothrud,Pune,Out Of The Oven,200.0,2.9,80,Bakery,Kothrud,66
16515,424643,Malleshwaram,Bangalore,Fishs Of The Day,400.0,2.9,80,Seafood,Malleshwaram,67
16516,424731,Indiranagar,Bangalore,Mahesh Lunch Home,1000.0,4.1,50,Indian,Indiranagar,62
16517,424731,Indiranagar,Bangalore,Mahesh Lunch Home,1000.0,4.1,50,Seafood,Indiranagar,62
16518,424731,Indiranagar,Bangalore,Mahesh Lunch Home,1000.0,4.1,50,Oriental,Indiranagar,62
16519,424758,South Kolkata,Kolkata,English Bazar Express,250.0,2.9,80,Chinese,South Kolkata,75
16520,424758,South Kolkata,Kolkata,English Bazar Express,250.0,2.9,80,Thai,South Kolkata,75
16521,424819,Baner,Pune,Wok 'Ur' World,900.0,2.9,80,Asian,Baner,77
16522,424819,Baner,Pune,Wok 'Ur' World,900.0,2.9,80,Chinese,Baner,77
16523,424819,Baner,Pune,Wok 'Ur' World,900.0,2.9,80,Seafood,Baner,77
16524,424819,Baner,Pune,Wok 'Ur' World,900.0,2.9,80,Continental,Baner,77
16525,424874,Himayath Nagar,Hyderabad,Star Santosh Dhaba,300.0,3.4,20,North Indian,Himayath Nagar,32
16526,424874,Himayath Nagar,Hyderabad,Star Santosh Dhaba,300.0,3.4,20,Biryani,Himayath Nagar,32
16527,424874,Himayath Nagar,Hyderabad,Star Santosh Dhaba,300.0,3.4,20,Chinese,Himayath Nagar,32
16528,424874,Himayath Nagar,Hyderabad,Star Santosh Dhaba,300.0,3.4,20,Indian,Himayath Nagar,32
16529,424874,Himayath Nagar,Hyderabad,Star Santosh Dhaba,300.0,3.4,20,Tandoor,Himayath Nagar,32
16530,424944,Perambur,Chennai,Thoothukudi Poricha Parotta,150.0,4.2,20,Indian,Perambur,68
16531,425001,Lake Town,Kolkata,Mastea,300.0,4.3,20,Continental,Lake Town,78
16532,425001,Lake Town,Kolkata,Mastea,300.0,4.3,20,Chinese,Lake Town,78
16533,425001,Lake Town,Kolkata,Mastea,300.0,4.3,20,Italian,Lake Town,78
16534,425060,Kurla,Mumbai,Afghan Darbar Chinese Corner,240.0,2.9,80,Chinese,Kurla,45
16535,425060,Kurla,Mumbai,Afghan Darbar Chinese Corner,240.0,2.9,80,Biryani,Kurla,45
16536,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,Italian,Lake Gardens,84
16537,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,Continental,Lake Gardens,84
16538,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,Desserts,Lake Gardens,84
16539,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,Pizzas,Lake Gardens,84
16540,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,American,Lake Gardens,84
16541,425098,Jodhpur Park,Kolkata,Red Pitcher,300.0,4.4,20,Mexican,Lake Gardens,84
16542,425161,Chandkheda,Ahmedabad,Rolls And Rolls And More,300.0,2.9,80,Chinese,Chandkheda,77
16543,425161,Chandkheda,Ahmedabad,Rolls And Rolls And More,300.0,2.9,80,Snacks,Chandkheda,77
16544,425283,Dhankawadi,Pune,The Chinese Window,300.0,2.9,80,Chinese,Dhankawadi,77
16545,425288,Egmore,Chennai,Quarter Biryani,300.0,3.8,20,Biryani,Egmore,47
16546,425288,Egmore,Chennai,Quarter Biryani,300.0,3.8,20,Combo,Egmore,47
16547,425288,Egmore,Chennai,Quarter Biryani,300.0,3.8,20,Chinese,Egmore,47
16548,425544,Laldarwaja,Ahmedabad,Recharge For Hunger,200.0,2.9,80,Continental,Laldarwaja,40
16549,425588,T Nagar,Chennai,1By2,250.0,4.9,20,Beverages,T Nagar,79
16550,425588,T Nagar,Chennai,1By2,250.0,4.9,20,Snacks,T Nagar,79
16551,425708,Indiranagar,Bangalore,Wraps Rolls & Bowls,250.0,4.3,20,North Indian,Indiranagar,62
16552,425708,Indiranagar,Bangalore,Wraps Rolls & Bowls,250.0,4.3,20,Chinese,Indiranagar,62
16553,425708,Indiranagar,Bangalore,Wraps Rolls & Bowls,250.0,4.3,20,Fast Food,Indiranagar,62
16554,425708,Indiranagar,Bangalore,Wraps Rolls & Bowls,250.0,4.3,20,Desserts,Indiranagar,62
16555,425752,Salt Lake,Kolkata,Loafers Cafe,200.0,2.9,80,Desserts,Salt Lake,60
16556,425752,Salt Lake,Kolkata,Loafers Cafe,200.0,2.9,80,Bakery,Salt Lake,60
16557,425752,Salt Lake,Kolkata,Loafers Cafe,200.0,2.9,80,Italian,Salt Lake,60
16558,425752,Salt Lake,Kolkata,Loafers Cafe,200.0,2.9,80,Pizzas,Salt Lake,60
16559,425752,Salt Lake,Kolkata,Loafers Cafe,200.0,2.9,80,Pastas,Salt Lake,60
16560,425780,Ruby Area,Kolkata,Ad Food Corner,150.0,2.9,80,Chinese,Ruby Area,82
16561,425785,Vastral,Ahmedabad,The Lio' Pizza,500.0,4.3,20,Pizzas,Vastral,75
16562,425785,Vastral,Ahmedabad,The Lio' Pizza,500.0,4.3,20,Italian,Vastral,75
16563,425795,Sinhgad Road,Pune,Ars Arebian Shawarma,200.0,2.9,80,Arabian,Sinhgad Road,71
16564,425795,Sinhgad Road,Pune,Ars Arebian Shawarma,200.0,2.9,80,Fast Food,Sinhgad Road,71
16565,425795,Sinhgad Road,Pune,Ars Arebian Shawarma,200.0,2.9,80,Beverages,Sinhgad Road,71
16566,425800,Powai,Mumbai,Spicy Tadka,300.0,4.3,50,Chinese,Powai,52
16567,425800,Powai,Mumbai,Spicy Tadka,300.0,4.3,50,North Indian,Powai,52
16568,425800,Powai,Mumbai,Spicy Tadka,300.0,4.3,50,Biryani,Powai,52
16569,425800,Powai,Mumbai,Spicy Tadka,300.0,4.3,50,Sweets,Powai,52
16570,425918,Salt Lake,Kolkata,Dipas Kitchen,200.0,3.8,20,North Indian,Salt Lake,77
16571,425918,Salt Lake,Kolkata,Dipas Kitchen,200.0,3.8,20,Chinese,Salt Lake,77
16572,425918,Salt Lake,Kolkata,Dipas Kitchen,200.0,3.8,20,Snacks,Salt Lake,77
16573,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,North Indian,Mantri Sqare Mall,61
16574,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Indian,Mantri Sqare Mall,61
16575,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Biryani,Mantri Sqare Mall,61
16576,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Punjabi,Mantri Sqare Mall,61
16577,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Kebabs,Mantri Sqare Mall,61
16578,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Mughlai,Mantri Sqare Mall,61
16579,425927,Mantri Sqare Mall,Bangalore,Barbecue By Punjab Grill,900.0,2.9,80,Desserts,Mantri Sqare Mall,61
16580,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,Biryani,Indiranagar,59
16581,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,Andhra,Indiranagar,59
16583,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,South Indian,Indiranagar,59
16584,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,Hyderabadi,Indiranagar,59
16585,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,Kebabs,Indiranagar,59
16586,425950,Indiranagar,Bangalore,Bheemavarma'S Biryani,600.0,4.2,50,Combo,Indiranagar,59
16587,425956,Maninagar,Ahmedabad,Ronak Omlet,200.0,3.8,20,Continental,Maninagar,35
16588,425956,Maninagar,Ahmedabad,Ronak Omlet,200.0,3.8,20,Snacks,Maninagar,35
16589,425974,Ra Puram,Chennai,Shri Ganesh Bhavan,250.0,4.6,20,South Indian,Mylapore,68
16590,425995,Ghatkopar Vikhroli,Mumbai,Vadilal Ice Cream,200.0,4.6,50,Ice Cream,Ghatkopar Vikhroli,43
16591,426000,Swargate,Pune,Top N Town,100.0,2.9,80,Ice Cream,Swargate,44
16592,426000,Swargate,Pune,Top N Town,100.0,2.9,80,Desserts,Swargate,44
16593,426014,Navrangpura,Ahmedabad,Frankies And Fries,300.0,2.9,80,Fast Food,Navrangpura,46
16594,426014,Navrangpura,Ahmedabad,Frankies And Fries,300.0,2.9,80,Continental,Navrangpura,46
16595,426022,Warje,Pune,Bkc Desi Hut,400.0,2.9,80,Biryani,Warje,76
16596,426022,Warje,Pune,Bkc Desi Hut,400.0,2.9,80,North Indian,Warje,76
16597,426022,Warje,Pune,Bkc Desi Hut,400.0,2.9,80,Chinese,Warje,76
16598,426022,Warje,Pune,Bkc Desi Hut,400.0,2.9,80,Beverages,Warje,76
